day_of_week,count,mean,median,std,min,max
Sunday,1152,53.4229300024809,50.20258414,27.916796133840325,8.949233374,104.9563783
Friday,1248,53.38753766606731,49.064319655,27.701393064822614,6.458037545,104.9481929
Tuesday,1152,53.25964537306684,48.043293795,27.86724576811625,8.451955384,104.9306884
Saturday,1154,53.24416192483275,51.170469045,27.4892449040353,5.505722882,104.9856592
Monday,1152,53.202441148312495,49.06814029,27.281787004074523,6.254519229,104.8441185
Wednesday,1248,52.89960586705929,49.141638505,27.359317249247347,6.213572385,104.9348871
Thursday,1248,52.715241969579324,49.940212535,27.40371129647743,6.477871636,104.8747043
